Age,StudyHoursPerWeek,GPA,MotivationLevel,StressLevel,AttentionSpan,FeedbackScore,LearningStyle,Strength,Weakness,Preference,Performance
23,17,3.95,7,4,8,9,Kinesthetic,Comprehension,Organization,Classroom Learning,Average
24,15,2.99,7,3,9,8,Auditory,Application,Attention,Online Learning,Average
23,27,3.55,6,3,6,9,Visual,Comprehension,Memory,Group Study,Average
23,20,3.37,9,2,9,9,Reading/Writing,Comprehension,Memory,Solo Study,Good
23,35,3.21,6,4,7,9,Auditory,Evaluation,Organization,Solo Study,Average
20,15,3.22,8,3,9,9,Kinesthetic,Application,Memory,Group Study,Average
23,20,3.3,6,1,7,7,Reading/Writing,Application,Attention,Group Study,Average
25,12,3.65,6,4,8,8,Reading/Writing,Analysis,Focus,Solo Study,Average
28,8,3.52,8,2,7,9,Visual,Evaluation,Focus,Classroom Learning,Average
28,8,3.35,8,2,9,7,Auditory,Analysis,Memory,Solo Study,Average
19,29,2.89,8,2,6,7,Reading/Writing,Evaluation,Organization,Solo Study,Average
22,7,2.89,6,1,7,7,Kinesthetic,Application,Organization,Group Study,Average
18,36,2.8,6,3,8,9,Auditory,Comprehension,Organization,Classroom Learning,Average
29,7,3.96,8,1,7,9,Kinesthetic,Comprehension,Organization,Solo Study,Average
18,31,2.81,9,4,7,8,Reading/Writing,Comprehension,Organization,Solo Study,Average
22,33,2.92,9,2,7,9,Kinesthetic,Comprehension,Memory,Online Learning,Average
29,36,3.18,7,1,8,9,Visual,Comprehension,Focus,Group Study,Average
20,23,3.77,8,1,9,7,Kinesthetic,Analysis,Focus,Online Learning,Good
21,25,3.95,7,3,7,8,Auditory,Evaluation,Memory,Online Learning,Average
20,9,3.75,9,3,7,9,Kinesthetic,Application,Organization,Solo Study,Average
18,22,3.63,7,2,6,9,Kinesthetic,Analysis,Memory,Group Study,Average
18,32,3.43,8,1,8,7,Visual,Evaluation,Focus,Classroom Learning,Good
29,26,2.9,8,1,7,7,Kinesthetic,Comprehension,Attention,Solo Study,Average
29,25,3.95,8,3,8,9,Kinesthetic,Evaluation,Memory,Classroom Learning,Good
22,10,3.71,6,1,7,8,Reading/Writing,Evaluation,Organization,Classroom Learning,Average
23,5,3.57,7,1,9,8,Reading/Writing,Comprehension,Focus,Group Study,Average
20,9,3.71,9,1,9,7,Auditory,Comprehension,Focus,Online Learning,Average
29,16,3.67,9,3,7,7,Reading/Writing,Comprehension,Focus,Group Study,Good
26,30,3.56,9,2,9,9,Reading/Writing,Application,Focus,Classroom Learning,Good
22,38,3.98,6,4,7,7,Reading/Writing,Comprehension,Organization,Solo Study,Average
25,18,3.88,6,2,9,9,Reading/Writing,Application,Attention,Classroom Learning,Average
18,30,3.58,8,4,6,8,Visual,Comprehension,Focus,Solo Study,Good
22,31,3.63,9,1,6,8,Reading/Writing,Application,Memory,Solo Study,Good
20,13,2.86,6,2,6,9,Visual,Evaluation,Attention,Group Study,Average
29,30,3.6,8,4,8,7,Visual,Analysis,Focus,Classroom Learning,Good
18,26,2.85,9,3,8,8,Reading/Writing,Evaluation,Attention,Online Learning,Average
21,34,3.51,7,3,6,7,Kinesthetic,Evaluation,Memory,Classroom Learning,Average
22,21,4.0,8,2,8,8,Visual,Comprehension,Focus,Classroom Learning,Good
24,30,3.47,6,2,9,9,Kinesthetic,Application,Memory,Online Learning,Average
18,5,3.37,6,1,7,9,Kinesthetic,Analysis,Organization,Group Study,Average
20,12,3.18,8,2,7,9,Reading/Writing,Comprehension,Focus,Classroom Learning,Average
19,39,2.94,8,1,7,8,Auditory,Comprehension,Focus,Classroom Learning,Average
26,19,3.68,6,1,6,7,Reading/Writing,Comprehension,Focus,Solo Study,Average
27,26,3.03,7,3,8,7,Auditory,Evaluation,Focus,Classroom Learning,Average
23,18,2.94,9,3,9,7,Auditory,Application,Organization,Online Learning,Average
27,30,3.31,7,4,9,8,Reading/Writing,Application,Focus,Solo Study,Average
20,32,3.75,8,3,6,8,Reading/Writing,Analysis,Attention,Group Study,Good
25,27,3.69,7,3,9,8,Auditory,Application,Focus,Solo Study,Average
25,18,2.87,6,2,9,8,Reading/Writing,Application,Organization,Online Learning,Average
19,28,3.35,8,3,9,8,Auditory,Comprehension,Focus,Online Learning,Good
23,6,3.43,9,4,9,7,Kinesthetic,Comprehension,Attention,Solo Study,Average
24,30,3.57,6,2,8,8,Reading/Writing,Evaluation,Organization,Group Study,Average
19,18,3.58,6,4,9,8,Kinesthetic,Comprehension,Organization,Solo Study,Average
28,11,3.24,9,3,7,7,Visual,Comprehension,Attention,Group Study,Average
27,7,3.47,9,4,6,8,Kinesthetic,Comprehension,Attention,Solo Study,Average
19,27,3.38,7,2,8,7,Kinesthetic,Comprehension,Attention,Online Learning,Average
27,22,3.86,8,1,9,7,Auditory,Evaluation,Attention,Classroom Learning,Good
18,39,3.44,9,4,8,9,Kinesthetic,Comprehension,Attention,Classroom Learning,Good
25,19,3.33,9,4,9,9,Reading/Writing,Analysis,Organization,Group Study,Good
